"date","hf_excess_return","market_excess_return","high_minus_low","small_minus_big"
01/05/1942,-1.37742,5.94,-2.65,-3.05
01/06/1942,1.94741,2.69,0.54,-1.22
01/07/1942,6.63096,3.51,2.4,-0.16
01/08/1942,3.53115,1.8,1.33,-0.09
01/09/1942,6.72144,2.61,2.39,0.66
01/10/1942,17.97861,6.82,6.47,1.82
01/11/1942,-7.54648,0.15,-4.24,-1.54
01/12/1942,2.87262,5.12,0.56,-2.49
01/01/1943,29.30196,7.13,8.23,8.78
01/02/1943,21.09877,6.15,6.51,4.84
01/03/1943,19.76667,6.01,5.48,5.03
01/04/1943,11.36779,0.81,5.86,2.06
01/05/1943,15.73243,5.74,3.28,4.41
01/06/1943,-0.48479,1.82,-0.74,-1.06
01/07/1943,-10.90773,-4.77,-2.27,-2.41
01/08/1943,-0.08801,1.3,-0.47,-0.62
01/09/1943,5.96241,2.4,1.43,1.28
01/10/1943,1.81125,-1.15,1.65,0.58
01/11/1943,-13.52198,-5.91,-4.04,-1.64
01/12/1943,14.95066,6.36,3.22,3.34
01/01/1944,7.88375,1.74,2.17,2.56
01/02/1944,1.38988,0.37,0.83,-0.1
01/03/1944,9.27506,2.46,3.43,1.71
01/04/1944,-4.92038,-1.69,-1.13,-1.35
01/05/1944,8.57507,5.07,1.02,1.67
01/06/1944,13.03053,5.49,1.82,4.04
01/07/1944,-1.41127,-1.49,-0.43,0.55
01/08/1944,2.33225,1.57,-1.63,2.41
01/09/1944,-1.06904,0.01,-1.21,0.47
01/10/1944,-0.48473,0.16,-0.34,-0.14
01/11/1944,5.34333,1.71,2.31,0.37
01/12/1944,14.9145,4.03,5.91,2.24
01/01/1945,6.0207,2.01,0.71,2.44
01/02/1945,14.24618,6.23,4.4,1.56
01/03/1945,-8.35624,-3.89,-1.78,-1.61
01/04/1945,12.66595,7.8,3.21,0.32
01/05/1945,4.08695,1.73,0.35,1.51
01/06/1945,10.12134,0.39,4.32,3.1
01/07/1945,-7.70133,-2.17,-2.71,-1.46
01/08/1945,2.24802,6.2,-4.4,1.61
01/09/1945,7.60198,4.77,0.48,1.71
01/10/1945,10.04782,3.89,2.25,2.46
01/11/1945,16.52537,5.39,4.34,4.16
01/12/1945,0.66059,1.2,-2.32,2.12
01/01/1946,14.3039,6.24,2.21,4.02
01/02/1946,-8.53963,-5.83,-1.27,-0.73
01/03/1946,5.83989,5.87,-0.36,0.31
01/04/1946,7.81899,4.23,0.45,2.37
01/05/1946,7.25885,3.93,1.09,1.46
01/06/1946,-6.63971,-3.89,-0.59,-1.53
01/07/1946,-5.21904,-2.69,0.04,-2.06
01/08/1946,-7.89293,-6.44,0.6,-1.78
01/09/1946,-18.41082,-10.17,-1.96,-4.41
01/10/1946,3.34507,-1.44,3.44,0.09
01/11/1946,1.57119,-0.01,1.52,-0.4
01/12/1946,3.21818,4.96,-1.38,0.06
01/01/1947,2.94933,1.25,-0.73,2.18
01/02/1947,-0.06601,-1.08,0.14,0.68
01/03/1947,-2.85306,-1.67,0.61,-1.61
01/04/1947,-8.58772,-4.8,0.85,-3.97
01/05/1947,-4.53216,-0.97,0.34,-3.26
01/06/1947,4.15812,5.29,-0.6,-0.31
01/07/1947,9.81547,4.14,2.82,1.43
01/08/1947,-1.17912,-1.74,0.16,0.3
01/09/1947,3.33712,-0.54,1.36,1.64
01/10/1947,3.24808,2.47,0.08,0.51
01/11/1947,-2.69148,-1.97,1.06,-1.74
01/12/1947,5.01974,3,3.69,-2.48
01/01/1948,0.97961,-3.93,1.38,2.49
01/02/1948,-6.4507,-4.38,0.07,-1.71
01/03/1948,14.45681,8.07,4.49,0.13
01/04/1948,7.24151,3.65,4.1,-1.66
01/05/1948,6.84668,7.3,-1.23,0.93
01/06/1948,1.35814,-0.1,2.75,-1.86
01/07/1948,-5.45196,-5.09,0.07,-0.32
01/08/1948,-0.73143,0.25,0.27,-1.1
01/09/1948,-6.97566,-2.97,-1.79,-1.23
01/10/1948,4.94487,5.96,0.56,-1.5
01/11/1948,-15.83041,-9.3,-4.14,-0.62
01/12/1948,-2.81348,3.26,-1.94,-2.8
01/01/1949,4.06973,0.23,1.17,1.81
01/02/1949,-6.55038,-2.93,-0.91,-1.89
01/03/1949,8.97695,4.04,1.34,2.48
01/04/1949,-4.60165,-1.87,-1.18,-0.89
01/05/1949,-7.22256,-2.94,-2.42,-0.77
01/06/1949,-3.39646,0.1,-1.76,-0.88
01/07/1949,6.838,5.54,0.38,0.57
01/08/1949,2.01248,2.6,-0.57,0.13
01/09/1949,4.7448,3.09,0.23,1.05
01/10/1949,3.78006,3.14,-0.49,1.03
01/11/1949,-0.55726,1.82,-0.91,-0.93
01/12/1949,10.14508,5.13,1.75,2.07
01/01/1950,6.04911,1.7,0.14,3.36
01/02/1950,0.43873,1.48,-0.81,0.04
01/03/1950,-4.24803,1.26,-2.77,-1.41
01/04/1950,8.27248,3.94,1.34,1.99
01/05/1950,2.37526,4.31,0.46,-2.12
01/06/1950,-10.00766,-5.94,-0.78,-2.38
01/07/1950,20.67021,1.36,13.66,0.51
01/08/1950,3.8764,4.85,-1.41,0.73
01/09/1950,4.04626,4.81,-1.11,0.57
01/10/1950,1.06635,-0.18,1.44,-0.58
01/11/1950,6.08461,2.76,3.17,-0.84
01/12/1950,17.32156,5.54,7.23,1.49
01/01/1951,12.98749,5.7,3.72,1.73
01/02/1951,-2.33114,1.41,-2.83,0.09
01/03/1951,-8.73912,-2.15,-4.22,-0.64
01/04/1951,7.56969,4.86,3.28,-1.49
01/05/1951,-4.19572,-2.34,-1.33,-0.01
01/06/1951,-10.46856,-2.62,-3.96,-1.95
01/07/1951,7.32271,6.94,2.01,-1.99
01/08/1951,5.33419,4.27,-0.16,0.99
01/09/1951,3.87755,0.7,0.61,1.9
