date,ticker,price,sp500_price,risk_free_rate,market_excess,stock_excess
20130830,c0a86d51,36.13,1632.97,0,0.029749475,0.012455024
20130930,c0a86d51,36.58,1681.55,0,0.04459576,0.021323127
20131031,c0a86d51,37.36,1756.54,0,0.028049461,0.049785867
20131129,c0a86d51,39.22,1805.81,0,0.023562833,0.03008669
20131231,c0a86d51,40.4,1848.36,0,-0.035582895,-0.016584158
20140131,c0a86d51,39.73,1782.59,0,0.043117038,0.035489554
20140228,c0a86d51,41.14,1859.45,0,0.006932157,0.041808459
20140331,c0a86d51,42.86,1872.34,0,0.006200797,-0.048530098
20140430,c0a86d51,40.78,1883.95,0,0.021030282,0.034575772
20140530,c0a86d51,42.19,1923.57,0,0.019058313,0.026783598
20140630,c0a86d51,43.32,1960.23,0,-0.015079863,-0.029778393
20140731,c0a86d51,42.03,1930.67,0,0.037655322,0.005948132
20140829,c0a86d51,42.28,2003.37,0,-0.015513859,-0.01064333
20140930,c0a86d51,41.83,1972.29,0,0.023201456,0.018407841
20141031,c0a86d51,42.6,2018.05,0,0.024533584,0.037558685
20141128,c0a86d51,44.2,2067.56,0,-0.004188512,0.016968326
20141231,c0a86d51,44.95,2058.9,0,-0.031040847,-0.067630701
20150130,c0a86d51,41.91,1994.99,0,0.054892506,0.064423765
20150227,c0a86d51,44.61,2104.5,0,-0.017396056,-0.021071509
20150331,c0a86d51,43.67,2067.89,0,0.008520763,-0.018319212
20150430,c0a86d51,42.87,2085.51,0,0.010491439,0.005598321
20150529,c0a86d51,43.11,2107.39,0,-0.021011773,0.006726977
20150630,c0a86d51,43.4,2063.11,0,0.01974204,0.041705069
20150731,c0a86d51,45.21,2103.84,0,-0.062580805,-0.063260341
20150831,c0a86d51,42.35,1972.18,0,-0.02644282,-0.031641086
20150930,c0a86d51,41.01,1920.03,0,0.082983078,0.028529627
20151030,c0a86d51,42.18,2079.36,0,0.000504963,0.040540541
20151130,c0a86d51,43.89,2080.41,0,-0.017630198,-0.027896765
20151231,c0a86d51,42.67,2043.94,1.00E-04,-0.050835344,-0.061267096
20160129,c0a86d51,40.06,1940.24,1.00E-04,-0.004328355,-0.038642336
20160229,c0a86d51,38.52,1932.23,2.00E-04,0.065791109,0.053538318
20160331,c0a86d51,40.59,2059.74,2.00E-04,0.00259937,0.051636881
20160429,c0a86d51,42.69,2065.3,1.00E-04,0.015229492,0.00294521
20160531,c0a86d51,42.82,2096.96,1.00E-04,0.000706074,-0.058350397
20160630,c0a86d51,40.33,2098.86,2.00E-04,0.035409807,0.045423605
20160729,c0a86d51,42.17,2173.6,2.00E-04,-0.001419176,0.04675281
